samp_id_short,weight_mg,samp_date,year,doy,plot_id,depth_cm
alf_49,39.85,2019-06-17,2019,168,2019_39,60-90
mai_01,18.53,2019-11-07,2019,311,2019_12,0-15
mai_03,63.14,2019-11-07,2019,311,2019_12,30-60
mai_04,39.49,2019-11-07,2019,311,2019_12,60-90
mai_10,19.14,2019-11-07,2019,311,2019_19,0-15
mai_12,66.78,2019-11-07,2019,311,2019_19,30-60
mai_13,25.65,2019-11-07,2019,311,2019_19,60-90
mai_19,6.65,2019-11-07,2019,311,2019_21,0-15
mai_20,18.86,2019-11-07,2019,311,2019_21,15-30
mai_21,18.9,2019-11-07,2019,311,2019_21,30-60
mai_22,30.55,2019-11-07,2019,311,2019_21,60-90
mai_28,12.01,2019-11-07,2019,311,2019_27,0-15
mai_29,19,2019-11-07,2019,311,2019_27,15-30
mai_30,24.66,2019-11-07,2019,311,2019_27,30-60
mai_31,19.3,2019-11-07,2019,311,2019_27,60-90
mai_32,7.88,2019-11-07,2019,311,2019_27,90-120
mai_37,14.58,2019-11-07,2019,311,2019_31,0-15
mai_38,21.01,2019-11-07,2019,311,2019_31,15-30
mai_39,49.65,2019-11-07,2019,311,2019_31,30-60
mai_40,25.71,2019-11-07,2019,311,2019_31,60-90
mai_46,10.42,2019-11-07,2019,311,2019_35,0-15
mai_47,16.83,2019-11-07,2019,311,2019_35,15-30
mai_48,56.44,2019-11-07,2019,311,2019_35,30-60
mai_55,12.62,2019-11-07,2019,311,2019_43,0-15
mai_56,12.63,2019-11-07,2019,311,2019_43,15-30
mai_57,23.98,2019-11-07,2019,311,2019_43,30-60
mai_58,42,2019-11-07,2019,311,2019_43,60-90
mai_64,38.34,2019-11-07,2019,311,2019_45,0-15
mai_65,10.18,2019-11-07,2019,311,2019_45,15-30
mai_66,26.42,2019-11-07,2019,311,2019_45,30-60
mai_67,60.61,2019-11-07,2019,311,2019_45,60-90
